family,examples,potential,verified,current,missing
"AI coding/orchestration: DAVE-AI, Claude/Kilo/MiniMax, HermesProof","Agentic project creation, locks, proof, multi-agent lanes",3.0,1.0,"Serena, Superpowers, Anthropic skills, repo connectors; HermesProof exists outside this repo",Canonical event contract; project router; worktree/task state; proof integration; recovery; operator GUI
Repository portfolio and GitHub/GitLab mirrors,"700+ repositories, issue/PR/release automation, repo hygiene",3.0,0.5,GitHub/GitLab entries and one thin repo-hygiene skill,Correct official connectors; mirror parity; dedupe/catalog; CI failure repair; release/signing; bulk GUI
Research and open-source stitching,"Papers, patterns, GitHub research, current library docs",3.0,0.5,"Context7, SearXNG, security skill sources",Source ranking; citations; license compatibility; reproducibility; project-fit scoring; research-to-contract workflow
Web/PWA/Electron and DaveAI.tech,"Fuel Date Audit, Map Studio, dashboards, single-file HTML, Electron/Tauri",2.5,0.5,Playwright CLI/skills only,Playwright MCP; Chrome DevTools; visual regression; a11y; performance; API contract; deploy/rollback
Android app/game development and device QA,"Barcode PWA/app, Aurelia, rooted devices, Android game projects",4.0,0.75,"Android MCP, Appium, Maestro, Mobile Harness, Mobilerun, AndroidWorld",One canonical device layer; Gradle/build/sign/publish; device lab state; deterministic evidence; recovery
Android reverse engineering,"APK analysis, clean-room parity, custom ROM/device research",4.5,1.0,"Apktool, JADX, MobSF, Frida skills",Actual Frida adapter; authorized scope; tool handoffs; rebuild/sign/install loop; normalized proof bundle
Windows native app development,"Professional GUI tools, WinUI/WinAppSDK, Windows-first desktop apps",4.0,1.0,"win-dev-skills, WinApp CLI, AutoGenesis",Correct installation; GUI one-click setup; cert/signing custody; fixture app; HermesProof/CI integration
Windows/native reverse engineering,"Trainers, x64dbg, Ghidra, crash/debug analysis",4.0,0.75,"x64dbg stack, Ghidra variants, radare2, Hyper-V",WinDbg/dump/symbol adapter; safe lab policy; canonical Ghidra choice; process supervision; evidence
Unity/IL2CPP reverse engineering,"Game research, asset/assembly recovery, parity projects",4.0,0.75,"AssetRipper, Cpp2IL, dnSpyEx, r2unity plus native RE tools",Unity-RE orchestrator; version detection; cross-tool artifact graph; provenance; fixture certification
Game creation and AI gameplay,"Bannerlord Pilot, Russian Fishing, Super Black Bass, Taipan, Gauntlet, Rust AI civilization",1.0,0.25,Almost no engine/editor/build-specific coverage,Unity/Godot/Unreal editor adapters; game design/spec skills; asset pipeline; playtest/balance; save/replay; build/release
3D/media/ComfyUI/voice,"ComfyUI assets, Blender/3D, image-to-3D, MiniMax media, Azure/local TTS",1.5,0.5,minimax-media exists outside repo; no catalog coverage,Blender/ComfyUI adapters; asset manifest/provenance; Unity import; TTS/media QC; GPU job routing
Local AI/model/GPU management,"LM Studio, Ollama, MiniMax, multi-GPU profiles, model downloads",1.0,0.25,No dedicated catalog entries,Provider registry; endpoint health; model install/checksum; VRAM routing; failover; usage/cost; privacy policy
VPS/Docker/WSL/Cloudflare/CI infrastructure,"Hostinger VPS, Docker runners, GitLab CI, Cloudflare deployment",1.0,0.25,GitHub/GitLab only; no infrastructure control plane,Docker/WSL/SSH/VPS adapter; runner health; deploy/rollback; secrets; backups; Cloudflare profile
"Embedded, robotics, 3D printers, motion rigs","SKR 1.3, Raspberry Pi, ESP32, hot-air motion rig",0.5,0.0,No catalog coverage,Serial/firmware adapter; PlatformIO; device flash/recovery; motion safety; OctoPrint/Klipper integration
"Data, databases, analytics and reporting","Dashboards, app state, audit data, reports",0.5,0.0,No database/data-quality profile,SQLite/Postgres adapter; migrations; backups; schema/data tests; analytics/report generation
"Release, signing, provenance and professional delivery","Signed releases, VSIX/APK/MSIX/zip artifacts, proof bundles",2.5,0.5,"Pieces in GitHub/GitLab, WinApp and external HermesProof",Cross-platform release train; SBOM; checksums; signing; clean rebuild; artifact retention; rollback
"Accessibility, internationalization and design QA","Modern compact GUIs, mobile/desktop layouts, accessible interfaces",1.5,0.25,Some upstream WinUI/UI automation capabilities,Cross-platform a11y; keyboard/screen reader; contrast; i18n; responsive/visual acceptance gates
"Long-running autonomy, scheduling, recovery and observability","Overnight agents, scheduled tasks, failure recovery, proof traces",1.5,0.25,scheduled-tasks exists outside repo; harness has no supervisor,Durable task state; cancellation; retry/backoff; circuit breaker; OTel metrics; orphan cleanup; resume UI
