id,name,declared_kind,actual_class,tier,profile,role,upstream,registry_present,config_present,registry_cloned,launcher,local_assessment,decision,priority,project_lanes,missing_skills,e2e_gap
1,Anthropic Skills,Skills,Skill pack/source,A,CORE,Official skill examples and skill-creator,https://github.com/anthropics/skills,True,True,False,npx -y anthropic-skills,Misregistered as an MCP with a fabricated generic npx command.,Keep as skill source; never launch as MCP,P0,Core creation; skill authoring,skill-source-sync; skill-vetting-and-pin; skill-evaluation,"No version pinning, install validation, skill tests, permission model, or update rollback."
2,Claude Plugins Official,Marketplace,Plugin marketplace,A,CORE,Curated Claude plugins,https://github.com/anthropics/claude-plugins-official,True,True,False,npx -y claude-plugins-official,Marketplace is misregistered as an MCP process.,Keep as marketplace metadata; install selected plugins only,P1,Core creation; plugin discovery,plugin-marketplace-sync; plugin-permission-audit; plugin-install-rollback,"No plugin compatibility, permission, provenance, or rollback workflow."
3,Serena,MCP,MCP server,A,CORE,Semantic code navigation/editing,https://github.com/oraios/serena,True,True,False,npx -y serena,Registry uses npx -y serena; upstream explicitly documents uv/uvx and warns against stale marketplace commands.,Keep as core MCP; replace launcher with official uv/uvx configuration,P0,All coding projects; semantic navigation,semantic-project-onboard; symbol-impact-refactor; serena-index-doctor,"No project initialization, language dependency doctor, indexing proof, or semantic-refactor acceptance tests."
4,Superpowers,Plugin/skills,Skill pack/plugin,A,CORE,Development workflow discipline,https://github.com/obra/superpowers,True,True,False,node G:\Github\superpowers\.opencode\plugins\superpowers.js,A local plugin file is placed in the MCP registry even though it is a workflow/plugin.,Keep as workflow skills; do not proxy as MCP,P0,Spec-first professional creation,spec-to-worktree; autonomous-low-risk-execution; two-stage-review-proof,"No risk-tiered approval policy, project profile integration, or HermesProof event contract."
5,Trail of Bits Skills Curated,Plugin marketplace,Curated skill marketplace,A/B,CORE/ON-DEMAND,"Reviewed skills including ghidra-headless, security-awareness, Playwright",https://github.com/trailofbits/skills-curated,False,False,,,Catalogued but omitted from registry and combined config.,Keep as vetted on-demand source; merge governance with Trail of Bits Skills,P1,Security; native RE; web review,security-skill-selection; pinned-security-pack-update; source-provenance,"No source pin, compatibility check, license/provenance record, or controlled install path."
6,Context7,MCP/CLI,MCP server,B,RESEARCH,Current library docs,https://github.com/upstash/context7,True,True,False,npx -y @upstash/context7-mcp,"Launcher shape is plausible, but no child-server runtime test exists.",Keep as core research MCP; pin package/version and certify,P0,Current docs; API research,version-pinned-doc-lookup; citation-and-api-drift-check; offline-fallback,"No version lock, cache policy, citation gate, or API-drift workflow."
7,GitHub MCP,MCP/Connector,MCP server/connector,B,REPO,Repo/issues/PR actions,https://github.com/github/github-mcp-server,True,True,False,npx -y github-mcp,Registry uses unverified npx github-mcp instead of the official server distribution.,Keep official server; use binary/Docker/remote and minimal read-only toolsets by default,P0,700+ repos; issues; PRs; Actions; releases,repo-intake; issue-to-worktree; pr-ci-release; repo-mirror-sync,"No toolset allowlist, read-only default, branch protection policy, release workflow, or mirror conflict handling."
8,GitLab MCP,MCP/Connector,Remote MCP server/connector,B,REPO,GitLab project/MR/pipeline actions,https://docs.gitlab.com/user/model_context_protocol/mcp_server/,True,True,False,npx -y @gitlab/mcp-server,Generated @gitlab/mcp-server launcher is not GitLab’s documented transport.,Keep official GitLab endpoint; use HTTP or mcp-remote OAuth flow,P0,GitLab mirrors; MRs; pipelines; VPS runners,mr-pipeline-runner; gitlab-mirror-sync; oauth-connection-doctor; runner-proof,"No OAuth/DCR flow, tool prefixing, runner workflow, mirror parity, or prompt-injection policy."
9,SearXNG MCP,MCP,MCP server,B,RESEARCH,Operator-controlled web search,https://github.com/ihor-sokoliuk/mcp-searxng,True,True,False,node G:\Github\searxng-mcp\dist\index.js,Local dist path is plausible but not launched or certified by the repository tests.,Keep optional/private research MCP; do not duplicate built-in web unnecessarily,P1,Private research; open-source discovery,privacy-research; source-quality-and-citation; query-budgeting,"No instance health check, result deduplication, source ranking, citation extraction, or privacy profile."
10,Trail of Bits Skills,Plugin marketplace,Security skill pack/marketplace,B,REVIEW,Security review/static analysis/supply-chain workflows,https://github.com/trailofbits/skills,True,True,False,npx -y trail-of-bits-skills,Misregistered as a generic npx MCP process.,Keep as on-demand security skills; not an MCP child,P1,Security; supply chain; code review,secure-code-review; dependency-sbom-vuln-triage; secrets-scan,"No language/tool selection, severity policy, remediation gate, or proof bundle."
